"נ""ז",סמס,חדר,שעות,יום,מורה,שם שעור
4.0,ב,29.3.6,15:00 - 12:00,ד,"תנע יקסבאינר'צ ןיקספ ר""ד",תוילמרופ תופשו םיטמוטוא
4.0,ב,,12:00 - 09:00,ב,"תנע יקסבאינר'צ ןיקספ ר""ד",תוילמרופ תופשו םיטמוטוא
4.0,ב,,12:00 - 09:00,ד,ינש בוש 'בג,תוילמרופ תופשו םיטמוטוא
0.0,ב,,16:00 - 14:00,א,ינש בוש 'בג,ליגרת - תוילמרופ תופשו םיטמוטוא
0.0,ב,,16:00 - 14:00,א,עבקנ םרט רמ,ליגרת - תוילמרופ תופשו םיטמוטוא
0.0,ב,60-1.14,14:00 - 12:00,ב,עבקנ םרט רמ,ליגרת - תוילמרופ תופשו םיטמוטוא
0.0,ב,,18:00 - 16:00,א,עבקנ םרט רמ,ליגרת - תוילמרופ תופשו םיטמוטוא
0.0,ב,,18:00 - 16:00,א,ינש בוש 'בג,ליגרת - תוילמרופ תופשו םיטמוטוא
0.0,ב,,16:00 - 14:00,ב,עבקנ םרט רמ,ליגרת - תוילמרופ תופשו םיטמוטוא
4.0,ב,,19:00 - 16:00,ב,"דעלא ברוח ר""ד",2 םימתירוגלא
4.0,ב,,18:00 - 15:00,ד,"דעלא ברוח ר""ד",2 םימתירוגלא
4.0,ב,,15:00 - 12:00,ב,"דעלא ברוח ר""ד",םינייטצמ) 2 םימתירוגלא)
0.0,ב,,20:00 - 18:00,ב,רימא גבס רמ,ליגרת2- םימתירוגלא
0.0,ב,,14:00 - 12:00,ג,לאינד גרבנזור רמ,ליגרת2- םימתירוגלא
0.0,ב,,17:00 - 15:00,ג,לאכימ ןיקשורט רמ,ליגרת2- םימתירוגלא
0.0,ב,,14:00 - 12:00,ג,לאכימ ןיקשורט רמ,ליגרת2- םימתירוגלא
0.0,ב,,15:00 - 13:00,ד,רימא גבס רמ,םינייטצמ) ליגרת2- םימתירוגלא)
3.5,ב,,13:00 - 10:00,ד,םעונ ןוזח 'פורפ,תיתוכאלמ הניבב םימתירוגלא
3.5,ב,,18:00 - 15:00,ד,םעונ ןוזח 'פורפ,תיתוכאלמ הניבב םימתירוגלא
3.0,ב,,12:00 - 09:00,א,"ןר ןיבוד ר""ד",תרושקת ילוקוטורפ תנגה
2.5,ב,,13:00 - 11:00,א,ןד ץפח 'פורפ,בשחמה יעדמל 2 תורבתסה
2.5,ב,,16:00 - 14:00,ג,ןד ץפח 'פורפ,בשחמה יעדמל 2 תורבתסה
2.5,ב,,13:00 - 11:00,ג,ןד ץפח 'פורפ,בשחמה יעדמל 2 תורבתסה
0.0,ב,,16:00 - 15:00,ד,לאכימ ןיקשורט רמ,ליגרת -בשחמה יעדמל 2 תורבתסה
0.0,ב,,17:00 - 16:00,ב,רימא גבס רמ,ליגרת -בשחמה יעדמל 2 תורבתסה
0.0,ב,,18:00 - 17:00,ד,רימא גבס רמ,ליגרת -בשחמה יעדמל 2 תורבתסה
0.0,ב,,17:00 - 16:00,ד,עבקנ םרט רמ,ליגרת -בשחמה יעדמל 2 תורבתסה
0.0,ב,,19:00 - 18:00,ד,עבקנ םרט רמ,ליגרת -בשחמה יעדמל 2 תורבתסה
0.0,ב,,18:00 - 17:00,ב,לאכימ ןיקשורט רמ,ליגרת -בשחמה יעדמל 2 תורבתסה
4.0,ב,,12:00 - 09:00,ג,ברימ ןורקש 'בג,םינותנ ידסמ
4.0,ב,,18:00 - 15:00,ג,עבקנ םרט רמ,םינותנ ידסמ
4.0,ב,,12:00 - 09:00,א,ברימ ןורקש 'בג,םינותנ ידסמ
0.0,ב,,19:00 - 17:00,ד,עבקנ םרט רמ,ליגרת-םינותנ ידסמ
0.0,ב,,21:00 - 19:00,ד,עבקנ םרט רמ,ליגרת-םינותנ ידסמ
0.0,ב,,18:00 - 16:00,ב,עבקנ םרט רמ,ליגרת-םינותנ ידסמ
0.0,ב,,21:00 - 19:00,ד,עבקנ םרט רמ,ליגרת-םינותנ ידסמ
0.0,ב,,21:00 - 19:00,א,עבקנ םרט רמ,ליגרת-םינותנ ידסמ
0.0,ב,,19:00 - 17:00,ד,עבקנ םרט רמ,ליגרת-םינותנ ידסמ
2.0,ב,,16:00 - 12:00,א,עבקנ םרט רמ,1 רבייס תדבעמ
2.0,ב,,20:00 - 16:00,א,עבקנ םרט רמ,1 רבייס תדבעמ
4.0,ב,,15:00 - 12:00,ד,עבקנ םרט רמ,הלעפה תוכרעמ
4.0,ב,,18:00 - 15:00,ה,"בקעי רצנ גרבנדייז ר""ד",הלעפה תוכרעמ
4.0,ב,,15:00 - 12:00,א,עבקנ םרט רמ,הלעפה תוכרעמ
0.0,ב,,18:00 - 16:00,א,עבקנ םרט רמ,ליגרת -הלעפה תוכרעמ
0.0,ב,,15:00 - 13:00,א,עבקנ םרט רמ,ליגרת -הלעפה תוכרעמ
0.0,ב,,14:00 - 12:00,א,עבקנ םרט רמ,ליגרת -הלעפה תוכרעמ
0.0,ב,,18:00 - 16:00,ד,עבקנ םרט רמ,ליגרת -הלעפה תוכרעמ
0.0,ב,,17:00 - 15:00,א,עבקנ םרט רמ,ליגרת -הלעפה תוכרעמ
0.0,ב,,17:00 - 15:00,ד,עבקנ םרט רמ,ליגרת -הלעפה תוכרעמ
3.5,ב,,15:00 - 12:00,ה,"ליג יצרא ןב ר""ד",הנומת דוביעו תבשחוממ הייאר
0.0,ב,,17:00 - 16:00,א,עבקנ םרט רמ,ליגרת -הנומת דוביעו תבשחוממ הייאר
0.0,ב,,19:00 - 18:00,א,עבקנ םרט רמ,ליגרת -הנומת דוביעו תבשחוממ הייאר
4.0,ב,,15:00 - 12:00,ה,עבקנ םרט רמ,2 תוכרעמ תונכת
4.0,ב,,12:00 - 09:00,א,עבקנ םרט רמ,2 תוכרעמ תונכת
4.0,ב,,15:00 - 12:00,ג,עבקנ םרט רמ,2 תוכרעמ תונכת
4.0,ב,,12:00 - 09:00,ד,עבקנ םרט רמ,2 תוכרעמ תונכת
0.0,ב,,18:00 - 17:00,א,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,20:00 - 19:00,א,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,21:00 - 20:00,א,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,19:00 - 18:00,ג,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,20:00 - 19:00,ג,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,21:00 - 20:00,ג,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,20:00 - 19:00,ב,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,21:00 - 20:00,ב,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,18:00 - 17:00,ב,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,20:00 - 19:00,ב,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,21:00 - 20:00,ג,ןימינב ןמדלאס רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,21:00 - 20:00,ב,עבקנ םרט רמ,הדבעמ 2- תוכרעמ תונכת
0.0,ב,,20:00 - 19:00,ג,עבקנ םרט רמ,ליגרת 2- תוכרעמ תונכת
0.0,ב,,19:00 - 18:00,ג,עבקנ םרט רמ,ליגרת 2- תוכרעמ תונכת
0.0,ב,,19:00 - 18:00,ב,עבקנ םרט רמ,ליגרת 2- תוכרעמ תונכת
0.0,ב,,19:00 - 18:00,א,עבקנ םרט רמ,ליגרת 2- תוכרעמ תונכת
